players,line,over,under
Anthony Davis,25.5,+100,−130
Austin Reaves,14.5,−120,−110
Cam Reddish,9.5,−120,−105
Christian Wood,10.5,−120,−110
Cole Anthony,14.5,+100,−125
D'Angelo Russell,16.5,−115,−110
Franz Wagner,20.5,+100,−125
Goga Bitadze,8.5,−130,+100
Jalen Suggs,10.5,−125,+100
LeBron James,22.5,−125,−105
Moritz Wagner,9.5,−120,−110
Paolo Banchero,18.5,−130,+105
Bogdan Bogdanovic,11.5,−110,−115
Brandon Ingram,23.5,−115,−110
CJ McCollum,19.5,−110,−115
Clint Capela,10.5,+110,−140
De'Andre Hunter,15.5,+105,−130
Dejounte Murray,19.5,−120,−105
Herbert Jones,9.5,−125,+100
Jonas Valanciunas,12.5,−115,−110
Onyeka Okongwu,8.5,−105,−120
Trae Young,24.5,−105,−120
Zion Williamson,23.5,−115,−110
Bennedict Mathurin,13.5,−105,−120
Brandon Miller,12.5,−105,−125
Bruce Brown,14.5,+105,−140
Gordon Hayward,15.5,−105,−120
LaMelo Ball,20.5,−120,−105
Mark Williams,10.5,−105,−120
Myles Turner,18.5,−110,−115
Nick Richards,6.5,+105,−135
Obi Toppin,8.5,−110,−115
P.J. Washington,15.5,−120,−110
Terry Rozier,21.5,−105,−120
Theo Maledon,6.5,−120,−105
Tyrese Haliburton,20.5,−120,−105
Cameron Thomas,21.5,−115,−110
Dorian Finney-Smith,11.5,−105,−120
Jaylen Brown,22.5,−110,−115
Jayson Tatum,27.5,−125,−105
Jrue Holiday,14.5,−110,−115
Kristaps Porzingis,18.5,−115,−110
Mikal Bridges,20.5,−120,−105
Spencer Dinwiddie,14.5,−115,−110
Aaron Gordon,13.5,−105,−125
Coby White,14.5,−105,−125
DeMar DeRozan,20.5,−120,−105
Jamal Murray,19.5,−125,−105
Kentavious Caldwell-Pope,9.5,−105,−125
Michael Porter Jr.,14.5,−110,−115
Nikola Jokic,26.5,−105,−120
Nikola Vucevic,16.5,−120,−105
Zach LaVine,26.5,−115,−115
Anthony Edwards,23.5,−120,−105
Collin Sexton,10.5,−115,−110
Jaden McDaniels,9.5,−110,−115
John Collins,13.5,−130,+100
Jordan Clarkson,16.5,+100,−125
Karl-Anthony Towns,21.5,−105,−120
Kelly Olynyk,6.5,−125,+100
Keyonte George,6.5,−110,−120
Kyle Anderson,7.5,−110,−115
Lauri Markkanen,22.5,−105,−125
Mike Conley,11.5,+100,−125
Naz Reid,12.5,−120,−110
Rudy Gobert,13.5,−115,−115
Talen Horton-Tucker,11.5,−115,−110
Walker Kessler,7.5,−110,−115
Alperen Sengun,16.5,−125,−105
Davion Mitchell,10.5,+105,−140
Dillon Brooks,12.5,−105,−125
Domantas Sabonis,19.5,−110,−115
Fred VanVleet,18.5,−115,−110
Harrison Barnes,13.5,−105,−120
Jabari Smith Jr.,13.5,−115,−110
Jae'Sean Tate,6.5,−120,−105
Jalen Green,22.5,−125,−105
Keegan Murray,15.5,−125,−105
Kevin Huerter,12.5,−120,−105
Malik Monk,15.5,−115,−115
Sasha Vezenkov,6.5,−105,−120
Dennis Schroder,14.5,−105,−120
Jakob Poeltl,10.5,−110,−115
Jeremy Sochan,10.5,−110,−115
Keldon Johnson,19.5,−120,−110
OG Anunoby,15.5,+100,−130
Pascal Siakam,20.5,−110,−115
Scottie Barnes,20.5,−110,−115
Victor Wembanyama,19.5,−105,−120
Zach Collins,13.5,−115,−110
Andrew Wiggins,14.5,+100,−125
Donovan Mitchell,28.5,−115,−110
Draymond Green,8.5,−115,−110
Evan Mobley,15.5,+100,−125
Kevon Looney,6.5,+105,−135
Klay Thompson,17.5,−105,−125
Stephen Curry,29.5,−115,−110
